岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
产品经理,那一科技,https://www.shixiseng.com/intern/inn_faw38tjdtfbz?pcm=pc_SearchList,18k-28k/月,上海,| 应届生,| 本科,少于15人,六日双休，能学到东西，系统，午餐补贴，邻近地铁
产品经理,神州数码,https://www.shixiseng.com/intern/inn_eylmgoru5agi?pcm=pc_SearchList,7k-15k/月,北京,| 应届生,| 本科,2000人以上, 
产品经理,京东五星电器集团有限公司,https://www.shixiseng.com/intern/inn_lizrlrolnzaf?pcm=pc_SearchList,5k-9k/月,南京,| 应届生,| 本科,2000人以上,技术提升，签实习协议，五险&amp; 氛围，生日礼金，员工关系和谐，福利好
产品经理,T3出行,https://www.shixiseng.com/intern/inn_rfk9dimbuthj?pcm=pc_SearchList,12k-18k/月,南京,| 应届生,| 本科,500-2000人,央企背景，互联网平台，阿里腾讯
产品经理,舒客电商,https://www.shixiseng.com/intern/inn_lzzrhmhwmk2e?pcm=pc_SearchList,10k-12k/月,广州,| 应届生,| 不限,50-150人,管理扁平化，发展迅速，电商
产品经理,汇纳科技,https://www.shixiseng.com/intern/inn_o7j2a10shhnh?pcm=pc_SearchList,6k-9k/月,西安,| 应届生,| 本科,500-2000人,人工智能，大数据，上市企业，年轻 活力，培训丰富，团队有爱
产品经理,路行通,https://www.shixiseng.com/intern/inn_kt7bgrxjmwnm?pcm=pc_SearchList,5k-8k/月,成都,| 应届生,| 本科,500-2000人, 
产品经理,邦盛科技,https://www.shixiseng.com/intern/inn_zmhwmxybzefw?pcm=pc_SearchList,8k-13k/月,杭州,| 应届生,| 本科,500-2000人,热数据，实时，机器学习
产品经理,邦盛科技,https://www.shixiseng.com/intern/inn_f1a5pu7awttz?pcm=pc_SearchList,8k-13k/月,北京,| 应届生,| 本科,500-2000人,热数据，实时，机器学习
产品经理,优质采云采购平台,https://www.shixiseng.com/intern/inn_x3z1bjn8z6wy?pcm=pc_SearchList,薪资面议,合肥,| 应届生,| 硕士,150-500人, 
产品经理,速擎软件,https://www.shixiseng.com/intern/inn_ppavoiby2xds?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,文化多元，年轻; 活力
产品经理,腾银财智,https://www.shixiseng.com/intern/inn_trcwm28jvn8h?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,150-500人,腾讯团队，团队大牛多，扁平化管理，工作氛围好
产品经理,腾银财智,https://www.shixiseng.com/intern/inn_ltvhsatohpfw?pcm=pc_SearchList,薪资面议,深圳,| 应届生,| 本科,150-500人,腾讯团队，团队大牛多，扁平化管理，工作氛围好
产品经理,新网银行,https://www.shixiseng.com/intern/inn_mdpdn0mqvm0m?pcm=pc_SearchList,薪资面议,成都,| 应届生,| 本科,500-2000人,互联网金融，工作气氛好，薪资福利高，员工食堂，互联网银行，产品人气爆棚
产品经理,华筑科技,https://www.shixiseng.com/intern/inn_ipyzzxfx6eoc?pcm=pc_SearchList,6k-15k/月,西安,| 应届生,| 本科,150-500人,职场经验，年轻有活力，五险一金，下午茶生日会，有情怀有梦想，职场导师
产品经理,AAA教育,https://www.shixiseng.com/intern/inn_bxnnxtqls5qm?pcm=pc_SearchList,5k-14k/月,沈阳,| 应届生 | 毕业1年内,| 大专,150-500人,双休&amp;险，成长快速，会奖，定向培养人才，帆船游艇
产品经理,易简空间,https://www.shixiseng.com/intern/inn_1odfzehtnte6?pcm=pc_SearchList,10k-16k/月,深圳,| 应届生 | 毕业1年内,| 本科,50-150人,卫星遥感，另类数据，智慧城市，金融科技
产品经理,帆软软件,https://www.shixiseng.com/intern/inn_4s6fc7iv8urp?pcm=pc_SearchList,16k-19k/月,南京,| 应届生,| 本科,500-2000人,管理扁平化，团队优秀
产品经理,达实智能,https://www.shixiseng.com/intern/inn_fzvf8f2t9ltm?pcm=pc_SearchList,10k-20k/月,深圳,| 应届生,| 本科,500-2000人,专业指导，平台好，五险&amp;双;休，行业领导者
产品经理,健海科技,https://www.shixiseng.com/intern/inn_zgydr8ijkfcz?pcm=pc_SearchList,10k-15k/月,杭州,| 应届生,| 本科,150-500人,不定期聚会，激励奖金多，高薪企业，技术培训，拓展
产品经理,亿保健康,https://www.shixiseng.com/intern/inn_na5wmwunoa7s?pcm=pc_SearchList,8k-12k/月,杭州,| 应届生 | 毕业1年内,| 本科,500-2000人,节日礼品，五险二金，餐饮补助，零食水果，免费体检，毕业可转正
产品经理,康佳智能电器,https://www.shixiseng.com/intern/inn_ivcouqqkw2vf?pcm=pc_SearchList,8k-9k/月,佛山,| 应届生,| 本科,150-500人,谈笑有鸿儒，累积专业经验，节日费用，老板靠谱，氛围nice，该有的都有
产品经理,程序员客栈,https://www.shixiseng.com/intern/inn_crtidzi3ijmc?pcm=pc_SearchList,5k-10k/月,杭州,| 应届生,| 本科,15-50人,办公轻松氛围，高成长，互联网思维，HRBP实习，发展迅速，优秀的团队，平台公司，面向未来的行业
产品经理,麦穗人工智能,https://www.shixiseng.com/intern/inn_yeswjnarbzvx?pcm=pc_SearchList,8k-15k/月,上海,| 应届生 | 毕业1年内,| 本科,50-150人,定期团建，极客氛围，mentor带教，有股权分红，办公氛围年轻，团队大牛多
产品经理,蓝湖,https://www.shixiseng.com/intern/inn_wl8iv7idqgkh?pcm=pc_SearchList,20k-30k/月,北京,| 应届生,| 硕士,150-500人,技术牛人多，准独角兽企业，弹性工作制，免费三餐，企业滴滴，免费零食供应
产品经理,数坤科技,https://www.shixiseng.com/intern/inn_vucs0t7tglyk?pcm=pc_SearchList,15k-30k/月,北京,| 应届生 | 毕业1年内,| 本科,500-2000人,氛围和谐愉快，节操团队，人生导师，为梦想而存在
产品经理,德科岛金科技,https://www.shixiseng.com/intern/inn_g0befltediee?pcm=pc_SearchList,6k-7k/月,北京,| 应届生 | 毕业1年内,| 本科,15-50人,新材料，新能源
产品经理,灵雀云,https://www.shixiseng.com/intern/inn_rregqvvdakbg?pcm=pc_SearchList,12k-18k/月,北京,| 应届生 | 毕业1年内,| 本科,150-500人,自由办公，业内领先 ，公司环境舒适交通便利，老板NICE
产品经理,凯立德,https://www.shixiseng.com/intern/inn_gpidhtrrkl87?pcm=pc_SearchList,7k-12k/月,深圳,| 应届生,| 本科,150-500人,职业生涯，优美环境，团队氛围棒，提供吃住
产品经理,Zenjoy,https://www.shixiseng.com/intern/inn_nlklwxwrdtuw?pcm=pc_SearchList,8k-12k/月,广州,| 应届生 | 毕业1年内,| 本科,15-50人,国际市场，年轻有基情，西式工作环境，股票期权，nice氛围，创业
产品经理,达实智能,https://www.shixiseng.com/intern/inn_gab1n8epekjm?pcm=pc_SearchList,10k-15k/月,深圳,| 应届生,| 本科,500-2000人,专业指导，平台好，五险&amp;双;休，行业领导者
产品经理,源香食品,https://www.shixiseng.com/intern/xjb_r6sks1q0ntpf?pcm=pc_SearchList,10k-13k/月,厦门, , , , 
产品经理,同步天成,https://www.shixiseng.com/intern/xjb_iu5uwolboome?pcm=pc_SearchList,10k-19k/月,厦门, , , , 
产品经理,模敦模具,https://www.shixiseng.com/intern/xjb_3jvhymlyrngw?pcm=pc_SearchList,薪资面议,厦门, , , , 
产品经理,四三九九,https://www.shixiseng.com/intern/xjb_iju7f3othpme?pcm=pc_SearchList,薪资面议,厦门, , , , 
产品经理,聚沙塔,https://www.shixiseng.com/intern/xjb_qiiubsj1j1oo?pcm=pc_SearchList,5k-8k/月,厦门, , , , 
产品经理,超星集团,https://www.shixiseng.com/intern/xjb_c8miojw1cmbo?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,航天信息,https://www.shixiseng.com/intern/xjb_xy4ktix6zdgg?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
产品经理,东城世纪,https://www.shixiseng.com/intern/xjb_ydjfugoyuyic?pcm=pc_SearchList,10k-15k/月,厦门, , , , 
产品经理,美肯科技,https://www.shixiseng.com/intern/xjb_pys9xhls0v7p?pcm=pc_SearchList,7k-10k/月,厦门, , , , 
产品经理,新达士电子,https://www.shixiseng.com/intern/xjb_xnrxwnaezkft?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
产品经理,大澳天成,https://www.shixiseng.com/intern/xjb_iwyv7jk3rblq?pcm=pc_SearchList,11k-16k/月,厦门, , , , 
产品经理,万安智能,https://www.shixiseng.com/intern/xjb_bzxrantukpeo?pcm=pc_SearchList,12k-23k/月,厦门, , , , 
产品经理,昊唐科技,https://www.shixiseng.com/intern/xjb_ndbvemjlbifj?pcm=pc_SearchList,薪资面议,北京, , , , 
产品经理,力源宝,https://www.shixiseng.com/intern/xjb_jbgducuwfuih?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
产品经理,信通慧安,https://www.shixiseng.com/intern/xjb_zikt2wciucoo?pcm=pc_SearchList,5k-10k/月,厦门, , , , 
产品经理,建发汽车,https://www.shixiseng.com/intern/xjb_ckljklv5r2be?pcm=pc_SearchList,10k-15k/月,厦门, , , , 
产品经理,奇获网络,https://www.shixiseng.com/intern/xjb_cpj8u8gafk1b?pcm=pc_SearchList,5k-8k/月,厦门, , , , 
产品经理,奇获网络,https://www.shixiseng.com/intern/xjb_bazui2j5ua7f?pcm=pc_SearchList,5k-8k/月,厦门, , , , 
产品经理,西岸枫谷,https://www.shixiseng.com/intern/xjb_a1kr5p3wn7vv?pcm=pc_SearchList,5k-6k/月,南宁, , , , 
产品经理,大秉科技,https://www.shixiseng.com/intern/xjb_vy3lh9slt9gu?pcm=pc_SearchList,7k-10k/月,厦门, , , , 
产品经理,博汇科技,https://www.shixiseng.com/intern/xjb_68w0xe11gknj?pcm=pc_SearchList,薪资面议,北京, , , , 
