岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
公关,上海瑞卡,https://www.shixiseng.com/intern/inn_vljy3d7ckmav?pcm=pc_SearchList,6k-12k/月,上海,| 应届生 | 毕业1年内,| 大专,15-50人,环境超赞，团队好，氛围欢快，年轻化，福利正规，上进
公关,朴睿咨询,https://www.shixiseng.com/intern/inn_nibgwmmmkkt5?pcm=pc_SearchList,3k-8k/月,北京,| 应届生 | 毕业1年内,| 本科,50-150人,地铁直达，团队气氛超赞，留用转正机会
公关,数禾科技,https://www.shixiseng.com/intern/inn_amwblnfekkwd?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,500-2000人,充满活力，创造性，工作环境轻松
公关,盈峰集团,https://www.shixiseng.com/intern/inn_qgw6pzrasgu5?pcm=pc_SearchList,10k-15k/月,深圳,| 应届生,| 本科,2000人以上,交通补贴，出境旅游，免费体检，餐费补贴，带薪年假，五险一金
公关,诺贝尔陶瓷,https://www.shixiseng.com/intern/xjb_cxc5srev5bkw?pcm=pc_SearchList,薪资面议,杭州, , , , 
公关,中研西南咨询中心,https://www.shixiseng.com/intern/xjb_54dedg6qxtkp?pcm=pc_SearchList,3k-4k/月,南宁, , , , 
公关,北大医信,https://www.shixiseng.com/intern/xjb_yccp6z68unxs?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,北大医疗信息技术有限公司,https://www.shixiseng.com/intern/xjb_k4f8makxhxaf?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,度量科技,https://www.shixiseng.com/intern/xjb_36acpy4iq5dq?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,盈峰集团,https://www.shixiseng.com/intern/inn_qgw6pzrasgu5?pcm=pc_SearchList,10k-15k/月,深圳,| 应届生,| 本科,2000人以上,交通补贴，出境旅游，免费体检，餐费补贴，带薪年假，五险一金
公关,猫途鹰,https://www.shixiseng.com/intern/xjb_z07gr7k63djz?pcm=pc_SearchList,薪资面议,北京, , , , 
公关,度量科技,https://www.shixiseng.com/intern/xjb_u1nmfnkz9lde?pcm=pc_SearchList,6k-10k/月,北京, , , , 
公关,小鹏汽车,https://www.shixiseng.com/intern/inn_2l1wvbixnlg1?pcm=pc_SearchList,薪资面议,海外,| 应届生,| 不限,2000人以上,自动驾驶，AI，互联网，整车研发
公关,介子网络,https://www.shixiseng.com/intern/inn_upswcrifygoh?pcm=pc_SearchList,5k-10k/月,杭州,| 应届生 | 毕业1年内,| 不限,15-50人,高速成长，巨大发展潜力，赋能型团队，前景项目，晋升路径清晰
公关,孩子王,https://www.shixiseng.com/intern/inn_2lu3fdv9sjzn?pcm=pc_SearchList,3k-4k/月,济宁,| 应届生,| 大专,2000人以上, 
公关,哲基咨询,https://www.shixiseng.com/intern/inn_m5qiizf6coyt?pcm=pc_SearchList,薪资面议,上海,| 应届生,| 本科,150-500人,加薪升职不限，双休，90后团队，共同成长学习，创造性强，吃得好氛围好，该有的都有，公共关系，实习留用机制，员工旅游
