岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
广告,创意国际传媒,https://www.shixiseng.com/intern/inn_cedzcehysbd9?pcm=pc_SearchList,4k-12k/月,广州,| 应届生 | 毕业1年内,| 不限,50-150人,每年旅游，各种补贴，人才推荐奖，行业有前景，五险一金，周末双休
广告,萌牙科技,https://www.shixiseng.com/intern/inn_vjc20uans5zt?pcm=pc_SearchList,8k-10k/月,宁波,| 应届生 | 毕业1年内,| 本科,150-500人,创客，福利环境超好，团队努力向上，双休年假，员工团建，节假日福利
广告,萌牙科技,https://www.shixiseng.com/intern/inn_vjc20uans5zt?pcm=pc_SearchList,8k-10k/月,宁波,| 应届生 | 毕业1年内,| 本科,150-500人,创客，福利环境超好，团队努力向上，双休年假，员工团建，节假日福利
广告,蝶之舞,https://www.shixiseng.com/intern/inn_rxrpmqjanl6g?pcm=pc_SearchList,5k-7k/月,上海,| 应届生,| 本科,15-50人,老板年轻，弹性管理，双休，五险
广告,四三九九,https://www.shixiseng.com/intern/xjb_ybpgt0yedgoy?pcm=pc_SearchList,薪资面议,厦门, , , , 
广告,太平洋网络,https://www.shixiseng.com/intern/inn_ypxuowmtgz4o?pcm=pc_SearchList,6k-10k/月,上海,| 应届生,| 本科,500-2000人, 
广告,有车以后,https://www.shixiseng.com/intern/inn_cqtx0pajlkjb?pcm=pc_SearchList,8k-14k/月,广州,| 应届生,| 本科,150-500人,新媒体，大学生实习，交通方便，互联网，地铁站旁边，同事nice，周末双休
广告,太平洋网络,https://www.shixiseng.com/intern/inn_dp61wv0gggvg?pcm=pc_SearchList,6k-10k/月,上海,| 应届生,| 本科,500-2000人, 
广告,太平洋网络,https://www.shixiseng.com/intern/inn_kklcqkowtay3?pcm=pc_SearchList,6k-8k/月,广州,| 应届生,| 本科,500-2000人, 
广告,Melodong,https://www.shixiseng.com/intern/inn_b0080wubzbka?pcm=pc_SearchList,5k-9k/月,北京,| 应届生 | 毕业1年内,| 本科,15-50人,全球化，游戏，海外市场，广告平台，跨国交流，大牛带路
广告,万科物业（南宁）,https://www.shixiseng.com/intern/xjb_4lpaju0sugjm?pcm=pc_SearchList,6k-8k/月,南宁, , , , 
广告,牛转乾坤,https://www.shixiseng.com/intern/xjb_iwlisf4g3prx?pcm=pc_SearchList,5k-8k/月,厦门, , , , 
广告,雨果网,https://www.shixiseng.com/intern/xjb_cwfepszn5uvu?pcm=pc_SearchList,12k-20k/月,厦门, , , , 
广告,雨果网,https://www.shixiseng.com/intern/xjb_avytml14rdly?pcm=pc_SearchList,10k-20k/月,厦门, , , , 
广告,广鹄股份,https://www.shixiseng.com/intern/xjb_mobos6dl3jyr?pcm=pc_SearchList,6k-12k/月,厦门, , , , 
广告,异彩信息,https://www.shixiseng.com/intern/xjb_5lgjjsmxk16r?pcm=pc_SearchList,4k-8k/月,厦门, , , , 
广告,圈子文化传播,https://www.shixiseng.com/intern/xjb_jfivcxcg3uo6?pcm=pc_SearchList,10k-15k/月,南宁, , , , 
广告,展心展力,https://www.shixiseng.com/intern/xjb_tr9p2o9zqtjp?pcm=pc_SearchList,薪资面议,北京, , , , 
广告,乐信圣文,https://www.shixiseng.com/intern/xjb_vj4w70mtotrj?pcm=pc_SearchList,薪资面议,北京, , , , 
广告,IDG资本,https://www.shixiseng.com/intern/xjb_jl3zt2acuhjk?pcm=pc_SearchList,薪资面议,北京, , , , 
广告,南叁南科技,https://www.shixiseng.com/intern/xjb_zegw9kllhlcv?pcm=pc_SearchList,9k-13k/月,厦门, , , , 
广告,建投集团,https://www.shixiseng.com/intern/xjb_yd3e4kvwwetd?pcm=pc_SearchList,薪资面议,赣州, , , , 
广告,高速文旅,https://www.shixiseng.com/intern/xjb_r6hz1c4uhznl?pcm=pc_SearchList,薪资面议,长沙, , , , 
广告,雍康文旅,https://www.shixiseng.com/intern/xjb_hlcc7ljxrkkf?pcm=pc_SearchList,薪资面议,毕节, , , , 
广告,城市建投,https://www.shixiseng.com/intern/xjb_wf7ngzugy1xq?pcm=pc_SearchList,薪资面议,临沂, , , , 
广告,四川日报,https://www.shixiseng.com/intern/xjb_kfmxkssjdeos?pcm=pc_SearchList,薪资面议,成都, , , , 
广告,尚米网络,https://www.shixiseng.com/intern/xjb_zkh5thqacs3e?pcm=pc_SearchList,薪资面议,深圳, , , , 
广告,太平洋網絡,https://www.shixiseng.com/intern/xjb_g256eyhoz4lc?pcm=pc_SearchList,5k-8k/月,广州, , , , 
广告,太平洋电脑,https://www.shixiseng.com/intern/xjb_zwrfwjjh01ar?pcm=pc_SearchList,薪资面议,广州, , , , 
广告,巨量引擎,https://www.shixiseng.com/intern/xjb_l74ty0hyb3ti?pcm=pc_SearchList,薪资面议, , , , , 
广告,巨量引擎,https://www.shixiseng.com/intern/xjb_hvjwvov9ds17?pcm=pc_SearchList,薪资面议, , , , , 
广告,今日头条（陕西）,https://www.shixiseng.com/intern/xjb_acjcxkfeosd3?pcm=pc_SearchList,薪资面议,西安, , , , 
广告,文旅集团,https://www.shixiseng.com/intern/xjb_s9mljgmum1bc?pcm=pc_SearchList,薪资面议,三门峡, , , , 
广告,9377游戏,https://www.shixiseng.com/intern/inn_hseduxudufj4?pcm=pc_SearchList,薪资面议,广州,| 应届生 | 毕业1年内,| 本科,500-2000人,人生导师，学习内容多，活跃的工作环境，大牛多，六险一金，包三餐
广告,天马传媒,https://www.shixiseng.com/intern/inn_65vmzhxsjfvg?pcm=pc_SearchList,3k-10k/月,贵阳,| 应届生 | 毕业1年内,| 大专,150-500人,校园实习生，实习补助，知名企业，可转正，领域广，团队年轻化，实现自我梦想，内部培训
广告,太平洋网络,https://www.shixiseng.com/intern/inn_271djppcxug6?pcm=pc_SearchList,6k-8k/月,广州,| 应届生,| 不限,500-2000人, 
广告,众智广告,https://www.shixiseng.com/intern/xjb_raemqmhxrjsx?pcm=pc_SearchList,7k-12k/月,厦门, , , , 
广告,集翔网大信息,https://www.shixiseng.com/intern/xjb_xf041k3lecwx?pcm=pc_SearchList,6k-8k/月,柳州, , , , 
广告,集翔网大信息,https://www.shixiseng.com/intern/xjb_tcpxq9s3bbno?pcm=pc_SearchList,6k-8k/月,北海, , , , 
广告,IDG资本,https://www.shixiseng.com/intern/xjb_3nmczc1vrqil?pcm=pc_SearchList,薪资面议,北京, , , , 
