岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
用户研究,麦科田生物,https://www.shixiseng.com/intern/xjb_wegsuqiwntbw?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,韶音科技,https://www.shixiseng.com/intern/xjb_jsyfjyksutev?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,共志通信,https://www.shixiseng.com/intern/xjb_ouvwenryloxs?pcm=pc_SearchList,12k-20k/月,上海, , , , 
用户研究,龙湖物业（杭州）,https://www.shixiseng.com/intern/xjb_r8r6vbpamvgb?pcm=pc_SearchList,薪资面议,杭州, , , , 
用户研究,杜壹创新,https://www.shixiseng.com/intern/xjb_uusgdb3jzbkn?pcm=pc_SearchList,8k-10k/月,珠海, , , , 
用户研究,正略钧策,https://www.shixiseng.com/intern/xjb_olxnnv71mzst?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,恒华科技,https://www.shixiseng.com/intern/xjb_dfs0sra3pebo?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,信软件,https://www.shixiseng.com/intern/xjb_ninsmlwqpvct?pcm=pc_SearchList,薪资面议,芜湖, , , , 
用户研究,信软件,https://www.shixiseng.com/intern/xjb_9qzxptq6pbzt?pcm=pc_SearchList,薪资面议,芜湖, , , , 
用户研究,国电科技,https://www.shixiseng.com/intern/xjb_i0ly7c1lfm4u?pcm=pc_SearchList,10k-18k/月,深圳, , , , 
用户研究,同智机电,https://www.shixiseng.com/intern/xjb_yshdbqjfdjtq?pcm=pc_SearchList,薪资面议,合肥, , , , 
用户研究,太力家庭用品,https://www.shixiseng.com/intern/xjb_fpfvkv0bhcor?pcm=pc_SearchList,薪资面议,中山, , , , 
用户研究,创鑫激光,https://www.shixiseng.com/intern/xjb_tmzx7pixisfa?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,太平洋網絡,https://www.shixiseng.com/intern/xjb_hb9icci8hqsz?pcm=pc_SearchList,5k-8k/月,广州, , , , 
用户研究,丰尚农牧,https://www.shixiseng.com/intern/xjb_28o4x11nchrr?pcm=pc_SearchList,薪资面议,扬州, , , , 
用户研究,汉尚电器,https://www.shixiseng.com/intern/xjb_hwcy371kbbpy?pcm=pc_SearchList,5k-7k/月,青岛, , , , 
用户研究,潘高寿药业,https://www.shixiseng.com/intern/xjb_dwmwn2pqb2lh?pcm=pc_SearchList,薪资面议,广州, , , , 
用户研究,华海药业,https://www.shixiseng.com/intern/xjb_tgj1dwb4p68y?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,华海药业,https://www.shixiseng.com/intern/xjb_4kjfkx08ka4d?pcm=pc_SearchList,薪资面议,台州, , , , 
用户研究,华海药业,https://www.shixiseng.com/intern/xjb_cdybm5cldkfw?pcm=pc_SearchList,薪资面议,台州, , , , 
用户研究,华海药业,https://www.shixiseng.com/intern/xjb_enckj5s1ld8c?pcm=pc_SearchList,薪资面议,台州, , , , 
用户研究,华海药业,https://www.shixiseng.com/intern/xjb_2l9vpyilnlpb?pcm=pc_SearchList,薪资面议,台州, , , , 
用户研究,科锐配电,https://www.shixiseng.com/intern/xjb_ojk7szf3pokk?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,古井云商,https://www.shixiseng.com/intern/xjb_icotyv00hzxm?pcm=pc_SearchList,薪资面议,合肥, , , , 
用户研究,中原地产,https://www.shixiseng.com/intern/xjb_0rmx9bufwkx5?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,思享无限,https://www.shixiseng.com/intern/xjb_sfyfzh6xkkqf?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,同智机电,https://www.shixiseng.com/intern/xjb_c5flglhijpuq?pcm=pc_SearchList,薪资面议,合肥, , , , 
用户研究,数码视讯,https://www.shixiseng.com/intern/xjb_hqvabr1smz66?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,凯龙高科技,https://www.shixiseng.com/intern/xjb_uctbbrvtzuyf?pcm=pc_SearchList,薪资面议,无锡, , , , 
用户研究,凯龙高科技,https://www.shixiseng.com/intern/xjb_fpuy0pjfrnvx?pcm=pc_SearchList,薪资面议,无锡, , , , 
用户研究,凯龙高科技,https://www.shixiseng.com/intern/xjb_1b1qexehkah1?pcm=pc_SearchList,薪资面议,无锡, , , , 
用户研究,凯龙高科技,https://www.shixiseng.com/intern/xjb_bwmaozasbbvw?pcm=pc_SearchList,薪资面议,无锡, , , , 
用户研究,凯龙高科技,https://www.shixiseng.com/intern/xjb_6dkddkoiaoum?pcm=pc_SearchList,薪资面议,无锡, , , , 
用户研究,圣和药业,https://www.shixiseng.com/intern/xjb_hjnffxpmm1u4?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,圣和药业,https://www.shixiseng.com/intern/xjb_7cjc4j4ia1pt?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,圣和药业,https://www.shixiseng.com/intern/xjb_11ljbnw1kz2v?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,圣和药业,https://www.shixiseng.com/intern/xjb_bn6czxoowc4r?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,东方电气,https://www.shixiseng.com/intern/xjb_hhn0wyqmvf00?pcm=pc_SearchList,薪资面议,德阳, , , , 
用户研究,四创科技,https://www.shixiseng.com/intern/xjb_yamu3cd4pqq1?pcm=pc_SearchList,薪资面议,福州, , , , 
用户研究,棒谷科技,https://www.shixiseng.com/intern/xjb_cczkvblo11g0?pcm=pc_SearchList,薪资面议,广州, , , , 
用户研究,乔木文化,https://www.shixiseng.com/intern/xjb_pvhivwknwfnv?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,乔木文化,https://www.shixiseng.com/intern/xjb_ey2hpzzrw9tk?pcm=pc_SearchList,薪资面议,南京, , , , 
用户研究,神马电力,https://www.shixiseng.com/intern/xjb_tfjmnudedlf2?pcm=pc_SearchList,薪资面议,南通, , , , 
用户研究,神马电力,https://www.shixiseng.com/intern/xjb_jool70oljqb2?pcm=pc_SearchList,薪资面议,南通, , , , 
用户研究,桃李食品,https://www.shixiseng.com/intern/xjb_zmutrzm8jgqe?pcm=pc_SearchList,薪资面议,天津, , , , 
用户研究,惠升基金,https://www.shixiseng.com/intern/xjb_uxpbrosbiqjy?pcm=pc_SearchList,薪资面议,拉萨, , , , 
用户研究,惠升基金,https://www.shixiseng.com/intern/xjb_kqjk3uuyc9xd?pcm=pc_SearchList,薪资面议,拉萨, , , , 
用户研究,惠升基金,https://www.shixiseng.com/intern/xjb_5or6ju3b5vti?pcm=pc_SearchList,薪资面议,拉萨, , , , 
用户研究,同智机电,https://www.shixiseng.com/intern/xjb_fyjmswf2ucjw?pcm=pc_SearchList,薪资面议,合肥, , , , 
用户研究,国立科技,https://www.shixiseng.com/intern/xjb_s1gljef8mhoy?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,国立科技,https://www.shixiseng.com/intern/xjb_ehapwq93rb5v?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,江山重工,https://www.shixiseng.com/intern/xjb_id5ivfnv3q7q?pcm=pc_SearchList,薪资面议,襄阳, , , , 
用户研究,惠升基金,https://www.shixiseng.com/intern/xjb_zbhcqthihmjh?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,惠升基金,https://www.shixiseng.com/intern/xjb_mnlqbtac5xjk?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,惠升基金,https://www.shixiseng.com/intern/xjb_iqxxcmfewxpn?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,华控清交,https://www.shixiseng.com/intern/xjb_gqkm3zbsurah?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,美的集团有,https://www.shixiseng.com/intern/xjb_3fvimys3l7ao?pcm=pc_SearchList,薪资面议,佛山, , , , 
用户研究,扬州亚星客车,https://www.shixiseng.com/intern/xjb_dwdctzmkjksv?pcm=pc_SearchList,薪资面议,扬州, , , , 
用户研究,明阳智慧,https://www.shixiseng.com/intern/xjb_bnmvz6xyptnn?pcm=pc_SearchList,薪资面议,中山, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_bsqf4dtsjgts?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_0svnr8uydhne?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_amgisx24cnkk?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_q5yxkcpcqa6t?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_lwfqsumhythy?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_unmrvxdccvyc?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_wj9scc46cdda?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_8punue7ja39g?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_bf9d07kjz1td?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_uqqgznbskgyw?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_eji07qm6g2zp?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_g3tdbjffcl6s?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_k7kokdmxtbxq?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_looud8nqlfhl?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_r9waqnryjvgt?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,美迪西生物,https://www.shixiseng.com/intern/xjb_hn286uhpbnkr?pcm=pc_SearchList,薪资面议,上海, , , , 
用户研究,中机公司,https://www.shixiseng.com/intern/xjb_akwhoem49veu?pcm=pc_SearchList,薪资面议,北京, , , , 
用户研究,天元军融,https://www.shixiseng.com/intern/xjb_ra7wsmf2ho8r?pcm=pc_SearchList,薪资面议,杭州, , , , 
用户研究,万隆制药,https://www.shixiseng.com/intern/xjb_onlabjobejs8?pcm=pc_SearchList,薪资面议,西安, , , , 
用户研究,同智机电,https://www.shixiseng.com/intern/xjb_91905ouo1htr?pcm=pc_SearchList,薪资面议,合肥, , , , 
用户研究,步科电气（深圳）,https://www.shixiseng.com/intern/xjb_vl7b3jweknaj?pcm=pc_SearchList,薪资面议,深圳, , , , 
用户研究,诚信集团,https://www.shixiseng.com/intern/xjb_51018uyolq8s?pcm=pc_SearchList,5k-8k/月,石家庄, , , , 
用户研究,德康集团,https://www.shixiseng.com/intern/xjb_zrjg3ce4xbxi?pcm=pc_SearchList,薪资面议,成都, , , , 
用户研究,Fidelity（大连）,https://www.shixiseng.com/intern/xjb_r5r2upzrbsyh?pcm=pc_SearchList,薪资面议,大连, , , , 
用户研究,惠科金渝光电,https://www.shixiseng.com/intern/xjb_hpyusfap3pit?pcm=pc_SearchList,薪资面议,重庆, , , , 
用户研究,中建科技（贵州）,https://www.shixiseng.com/intern/xjb_jhbj8bvfydux?pcm=pc_SearchList,9k-11k/月,贵阳, , , , 
用户研究,晶科能源,https://www.shixiseng.com/intern/xjb_d7alego7vjxb?pcm=pc_SearchList,薪资面议,杭州, , , , 
用户研究,晶科能源,https://www.shixiseng.com/intern/xjb_p3rul9jdvkwh?pcm=pc_SearchList,薪资面议,上饶, , , , 
